Gene_Probe,HL60_S4_C13,RG16_2_3,RG16_3_1,RG16_set2_C13,RG16_set3_C11,RG17_2_5,RG17_2_7,RG17_3_3,RG17_3_6,RG17_set2_C15,RG17_set2_C17,RG17_set3_C13,RG17_set3_C16,RG19_2_2,RG19_2_6,RG19_3_1,RG19_set2_C12,RG19_set2_C16,RG19_set3_C11,RG20_2_3,RG20_2_6,RG26_set2_C115,RG34_2_9,RG34_3_8,RG34_set3_C18,HL60_S4_C13B,RG14_3_1B,RG14_set3_C11B,RG16_2_3B,RG16_3_1B,RG16_set2_C13B,RG16_set3_C11B,RG17_set2_C15B,RG17_set2_C17B,RG17_set3_C13B,RG17_set3_C16B,RG19_set2_C12B,RG19_set2_C16B,RG19_set3_C11B,RG20_set2_C16B,RG26_set2_C115B,RG34_set3_C18B
MFSD6,-1.403171234,-1.132887809,-1.210804117,-1.478304479,-1.098869236,-1.422792371,-1.222060071,-1.419020347,-1.431065176,-1.562259336,-1.191868825,-1.658651018,-0.975755985,-1.106844543,-1.380296322,-0.760401296,-1.111773965,-1.086469802,-0.967049094,-1.448468536,-1.249532302,-1.241001345,-1.156493386,-1.297785688,-1.375460371,-1.882627633,-1.423569754,-1.282691721,-0.987944177,-1.520731257,-0.986593225,-0.826900519,-1.066132051,-1.42947141,-1.206388324,-1.222611872,-1.316529811,-1.154604974,-1.168740298,-1.34821273,-1.221181812,-1.732120499
NFXL1_1,0.628735595,0.833661016,0.735286183,0.803819638,0.744990639,0.723700797,0.792499599,0.697331665,0.716892857,0.69761617,0.722692501,0.79446063,0.758124612,0.746885478,0.703316245,0.826953428,0.83894352,0.85892321,0.750791206,0.695808088,0.768188791,0.702907812,0.739312954,0.786391079,0.82317692,0.658219373,0.699038661,0.703270416,0.785834626,0.7573359,0.783622028,0.738320905,0.711747089,0.761661765,0.75599928,0.705762028,0.730456858,0.746001712,0.768897772,0.728693156,0.686748732,0.833754759
ROCK2,0.614360488,0.686278972,0.675780348,0.715662536,0.613536425,0.642568732,0.671587371,0.613004261,0.664532216,0.602930796,0.695814481,0.710104276,0.689079539,0.681809233,0.608516881,0.702031957,0.708846058,0.781562074,0.702922151,0.639748215,0.698041295,0.675204554,0.782147575,0.678160104,0.706905721,0.586777345,0.637765597,0.662530874,0.671632284,0.664315961,0.71446859,0.622831236,0.580216,0.666211117,0.667210033,0.682832641,0.703944827,0.645143117,0.653809761,0.653053606,0.676209762,0.693809558
CD4,-0.257071259,-0.430039733,-0.247933778,-0.30495848,-0.374007605,-0.194278358,-0.428106291,-0.242701103,-0.285069786,-0.208655182,-0.203196696,-0.396254372,-0.329754057,-0.299902974,-0.294078337,-0.735611395,-0.349526937,-0.892041809,-0.255810573,-0.201779302,-0.306397181,-0.133254575,-0.732163464,-0.283258573,-0.436727284,-0.200291295,-0.190485466,-0.194765708,-0.130698889,-0.195141172,-0.37577046,-0.232592495,-0.348012144,-0.317923485,-0.409531914,-0.229538497,-0.199118563,-0.310595519,-0.209661866,-0.224880915,-0.223595216,-0.377616994
CTSL1,0.673606375,0.624153692,0.584795692,0.597611654,0.615998407,0.602072093,0.66455065,0.634440179,0.633613891,0.537188948,0.621552281,0.596733142,0.585279997,0.576779635,0.610230429,0.59130315,0.678026313,0.642365268,0.603997616,0.629053407,0.520789239,0.604764538,0.670504982,0.639507059,0.671156485,0.61283977,0.619586557,0.572077612,0.516241239,0.559705554,0.627810739,0.597389862,0.535775529,0.570413018,0.477058904,0.550802867,0.560030029,0.653844121,0.566474875,0.567968535,0.562427464,0.652791252
OAS3,-1.147205413,-1.230675488,-1.182837395,-1.2884835,-1.63415711,-1.278917107,-1.276371361,-1.265067943,-1.377246947,-1.103533899,-1.041246771,-1.242312792,-1.114691792,-1.064681471,-1.287962769,-0.699079132,-1.224167986,-1.551932931,-1.392334136,-1.322885619,-1.108240633,-0.989016965,-1.208362743,-1.309369289,-1.455120519,-1.177179698,-1.29629203,-1.125920324,-1.555177272,-1.164609126,-1.204419799,-1.236870762,-1.332354681,-1.186435877,-1.355352636,-1.057171493,-0.993685507,-1.233651007,-1.258233642,-1.218026022,-1.005215528,-1.252354229
TMEM50B,0.052607731,-0.261187146,-0.198939663,-0.143611111,-0.323626586,0.053853931,0.036648426,0.0415434,-0.012561676,-0.051153971,-0.077749041,-0.14149894,-0.178198751,-0.193208908,0.074735018,-0.188550751,-0.285892601,-0.45893129,-0.196776021,-0.070558314,-0.158485092,-0.044676658,-0.005199972,-0.19108957,0.113063682,0.132897995,-0.017214082,-0.076021991,-0.36627132,-0.128956346,-0.220208645,-0.13954456,-0.193529367,-0.111100134,-0.062886586,-0.098982323,-0.077008804,0.024877283,-0.119542762,0.010699475,-0.050170009,0.110108324
AMFR,0.27615201,0.573235488,0.403559047,0.578279735,0.659167031,0.506122094,0.519233817,0.436845958,0.402375448,0.584143254,0.334416022,0.341923035,0.422004086,0.423529884,0.578001672,0.217920217,0.351806374,0.564220388,0.462776262,0.428772702,0.413500058,0.446245679,0.301242123,0.525342644,0.439889972,0.433212039,0.488698692,0.497329516,0.604726889,0.495695217,0.520149046,0.575793847,0.542221784,0.50155184,0.44755977,0.391700539,0.334263756,0.506643193,0.461331441,0.481511586,0.409984246,0.467629984
BCL2,0.629161671,1.110223607,0.954643608,1.129716449,1.240864944,0.920189883,1.001935731,0.941531763,0.876476625,1.014832727,0.856904687,1.063260185,0.99240427,0.984426481,1.046432852,0.816956956,1.021077238,1.226777814,1.006482606,0.957880714,1.040708951,0.962389988,0.892691915,1.186273436,1.059122782,0.75598763,0.949041271,0.970479652,1.338013634,1.038532201,1.135981788,1.057422001,1.10579605,1.048248736,1.192344148,0.960934282,0.923650427,0.987378667,0.987930082,0.945459145,0.948173546,1.116934244
ITGAM,-0.14387374,-0.245484279,-0.210142484,0.002735901,-0.127730648,-0.013498032,-0.042474676,-0.142043445,-0.175235941,0.103397889,-0.137577671,-0.191907994,-0.150331907,-0.141305628,0.144766273,-0.469121028,-0.123349304,-0.229224862,0.148997584,-0.03637605,-0.11236951,-0.171910515,0.024368771,-0.303285677,-0.195905858,0.066865528,-0.077679268,0.140678491,0.151737852,-0.084457831,-0.223170565,-0.089054768,-0.01460111,-0.019487394,-0.195217538,-0.130528436,-0.157048056,-0.193832794,0.15740192,-0.173404307,-0.193491412,-0.157602148
